Nodes,Label
Black Panther / T'chal,Black Panther / T'chal
Loki [asgardian],Loki [asgardian]
Mantis / ? Brandt,Mantis / ? Brandt
Iceman / Robert Bobby,Iceman / Robert Bobby
Marvel Girl / Jean Grey,Marvel Girl / Jean Grey
Cyclops / Scott Summer,Cyclops / Scott Summer
Storm / Ororo Munroe S,Storm / Ororo Munroe S
Human Torch / Johnny S,Human Torch / Johnny S
Professor X / Charles,Professor X / Charles
Wolverine / Logan,Wolverine / Logan
Scarlet Witch / Wanda,Scarlet Witch / Wanda
Mr. Fantastic / Reed R,Mr. Fantastic / Reed R
Iron Man / Tony Stark,Iron Man / Tony Stark
Dr. Strange / Stephen,Dr. Strange / Stephen
Jack Of Hearts / Jack,Jack Of Hearts / Jack
Thor,Thor
Black Widow / Natasha,Black Widow / Natasha
Deadpool / Jack / Wade W,Deadpool / Jack / Wade W
Hulk / Dr Bruce Banner,Hulk / Dr Bruce Banner